ano;leilao;lote;descricao;orgao_de_origem;status;valor_lance_inicial;valor_lance_final;status_do_pagamento;material;placa
2019;1;14;Nro.Patr. : 040069222 Nro.Placa : HMH7983 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE ECONO Ano/Modelo : 2009 / 2010 Combustivel : ALC/GASO;1400;Arrematado;3500;11750,0;Pagamento Confirmado;Automóvel;HMH7983
2019;1;15;Nro.Patr. : 036613355 Nro.Placa : HMH5240 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FORD/FIESTA 1.6 FLEX Ano/Modelo : 2008 / 2009 Combustivel : ALC/GASO;1510;Arrematado;2500;9500,0;Pagamento Confirmado;Automóvel;HMH5240
2019;1;16;Nro.Patr. : 017723868 Nro.Placa : HMH5653 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: GM/VECTRA SEDAN ELEG Ano/Modelo : 2009 / 2009 Combustivel : ALC/GASO;2070;Arrematado;8000;18200,0;Pagamento Confirmado;Automóvel;HMH5653
2019;1;17;Nro.Patr. : 040069192 Nro.Placa : HMH7992 Situacao : Pessimo Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE ECONO Ano/Modelo : 2009 / 2010 Combustivel : ALC/GASO;1400;Arrematado;3500;9350,0;Pagamento Confirmado;Automóvel;HMH7992
2019;1;18;Nro.Patr. : 027564347 Nro.Placa : HMG3351 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2004 / 2005 Combustivel : GASOLINA;2100;Arrematado;500;500,0;Pagamento Confirmado;Automóvel;HMG3351
2019;1;19;Nro.Patr. : 024781649 Nro.Placa : HMH1925 Situacao : Sucata Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2008 / 2008 Combustivel : ALC/GASO;1510;Arrematado;2000;6500,0;Pagamento Confirmado;Automóvel;HMH1925
2019;1;20;Nro.Patr. : 027658287 Nro.Placa : HMH1837 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: FIAT/STRADA FIRE FLE Ano/Modelo : 2008 / 2008 Combustivel : ALC/GASO;2100;Arrematado;700;700,0;Pagamento Confirmado;Automóvel;HMH1837
2019;1;21;Nro.Patr. : 019376340 Nro.Placa : HMG3653 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2004 / 2005 Combustivel : GASOLINA;1450;Arrematado;500;500,0;Pagamento Confirmado;Automóvel;HMG3653
2019;1;22;Nro.Patr. : 014259214 Nro.Placa : HMG1647 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE Ano/Modelo : 2002 / 2002 Combustivel : ALCOOL;1690;Arrematado;400;400,0;Pagamento Confirmado;Automóvel;HMG1647
2019;1;23;Nro.Patr. : 036629391 Nro.Placa : HMH9690 Situacao : Sucata Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/PALIO ATTRACTIV Ano/Modelo : 2010 / 2011 Combustivel : ALC/GASO;1510;Lote Suspenso;2500;0,0;Lote Suspenso;Automóvel;HMH9690
2019;1;24;Nro.Patr. : 027565033 Nro.Placa : HMG3320 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2004 / 2005 Combustivel : GASOLINA;2100;Arrematado;2000;5700,0;Pagamento Confirmado;Automóvel;HMG3320
2019;1;25;Nro.Patr. : 027584194 Nro.Placa : HMG3434 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: FIAT/STRADA TREK CE Ano/Modelo : 2004 / 2005 Combustivel : ALC/GASO;2100;Arrematado;4000;12100,0;Pagamento Confirmado;Automóvel;HMG3434
2019;1;26;Nro.Patr. : 013989286 Nro.Placa : HMH0448 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2007 / 2007 Combustivel : ALC/GASO;1400;Arrematado;3000;10000,0;Pagamento Confirmado;Automóvel;HMH0448
2019;1;27;Nro.Patr. : 030303257 Nro.Placa : HNH1936 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: I/FORD FOCUS 2L FC F Ano/Modelo : 2011 / 2012 Combustivel : ALC/GASO;1500;Lote Suspenso;8000;0,0;Lote Suspenso;Automóvel;HNH1936
2019;1;28;Nro.Patr. : 027643654 Nro.Placa : HMH0543 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2007 / 2007 Combustivel : ALC/GASO;2100;Arrematado;1500;5600,0;Pagamento Confirmado;Automóvel;HMH0543
2019;1;29;Nro.Patr. : 015879305 Nro.Placa : HMG3013 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/SIENA FIRE Ano/Modelo : 2004 / 2004 Combustivel : GASOLINA;1510;Arrematado;2000;6200,0;Pagamento Confirmado;Automóvel;HMG3013
2019;1;30;Nro.Patr. : 015879615 Nro.Placa : HMG3044 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/SIENA FIRE Ano/Modelo : 2004 / 2004 Combustivel : GASOLINA;1510;Arrematado;2000;4700,0;Pagamento Confirmado;Automóvel;HMG3044
2019;1;31;Nro.Patr. : 027564410 Nro.Placa : HMG3352 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2004 / 2005 Combustivel : GASOLINA;2100;Arrematado;500;500,0;Pagamento Confirmado;Automóvel;HMG3352
2019;1;32;Nro.Patr. : 040069257 Nro.Placa : HMH7986 Situacao : Sucata Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE ECONO Ano/Modelo : 2009 / 2010 Combustivel : ALC/GASO;1400;Arrematado;3500;10700,0;Pagamento Confirmado;Automóvel;HMH7986
2019;1;33;Nro.Patr. : 028861205 Nro.Placa : HMG6620 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2006 / 2006 Combustivel : ALC/GASO;1370;Arrematado;2000;8300,0;Pagamento Confirmado;Automóvel;HMG6620
2019;1;34;Nro.Patr. : 019307934 Nro.Placa : HMG2276 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/PALIO EX Ano/Modelo : 2003 / 2003 Combustivel : GASOLINA;1450;Arrematado;500;500,0;Pagamento Confirmado;Automóvel;HMG2276
2019;1;35;Nro.Patr. : 027815749 Nro.Placa : HMG2406 Situacao : Sucata Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2003 / 2004 Combustivel : GASOLINA;2100;Arrematado;400;400,0;Pagamento Confirmado;Automóvel;HMG2406
2019;1;36;Nro.Patr. : 027564371 Nro.Placa : HMG3350 Situacao : Sucata Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2004 / 2005 Combustivel : GASOLINA;2100;Arrematado;2000;6200,0;Pagamento Confirmado;Automóvel;HMG3350
2019;1;37;Nro.Patr. : 027564789 Nro.Placa : HMG3324 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2004 / 2005 Combustivel : GASOLINA;2100;Arrematado;500;500,0;Pagamento Confirmado;Automóvel;HMG3324
2019;1;38;Nro.Patr. : 028433840 Nro.Placa : HMG4101 Situacao : Sucata Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/PALIO WK ADVEN Ano/Modelo : 2005 / 2005 Combustivel : ALC/GASO;1450;Arrematado;2000;4900,0;Pagamento Confirmado;Automóvel;HMG4101
2019;1;39;Nro.Patr. : 027815765 Nro.Placa : HMG2409 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2003 / 2004 Combustivel : GASOLINA;2100;Arrematado;2000;5893,0;Pagamento Confirmado;Automóvel;HMG2409
2019;1;40;Nro.Patr. : 027650154 Nro.Placa : HDF9680 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2007 / 2008 Combustivel : ALC/GASO;2100;Arrematado;2000;9100,0;Pagamento Confirmado;Automóvel;HDF9680
2019;1;41;Nro.Patr. : 036617423 Nro.Placa : HMH7385 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE ECONO Ano/Modelo : 2009 / 2010 Combustivel : ALC/GASO;1510;Arrematado;2000;6600,0;Pagamento Confirmado;Automóvel;HMH7385
2019;1;42;Nro.Patr. : 027892018 Nro.Placa : HMG2400 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2003 / 2004 Combustivel : GASOLINA;2100;Arrematado;2000;5500,0;Pagamento Confirmado;Automóvel;HMG2400
2019;1;43;Nro.Patr. : 024774456 Nro.Placa : HMH0930 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: FIAT/DOBLO CARGO FLE Ano/Modelo : 2007 / 2007 Combustivel : ALC/GASO;1510;Arrematado;2500;7800,0;Pagamento Confirmado;Automóvel;HMH0930
2019;1;44;Nro.Patr. : 076312860 Nro.Placa : GMG8041 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: FIAT/FIORINO IE Ano/Modelo : 1995 / 1996 Combustivel : GASOLINA;1690;Arrematado;3000;8000,0;Pagamento Confirmado;Automóvel;GMG8041
2019;1;45;Nro.Patr. : 028584546 Nro.Placa : HMG6731 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: GM/ASTRA SEDAN CONFO Ano/Modelo : 2005 / 2006 Combustivel : ALC/GASO;1510;Arrematado;3000;7600,0;Pagamento Confirmado;Automóvel;HMG6731
2019;1;46;Nro.Patr. : 027639649 Nro.Placa : HAD0922 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: FIAT/STRADA TREK FLE Ano/Modelo : 2004 / 2005 Combustivel : ALC/GASO;2100;Arrematado;3000;8300,0;Pagamento Confirmado;Automóvel;HAD0922
2019;1;47;Nro.Patr. : 013858297 Nro.Placa : HMH6502 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/PALIO WK ADVEN Ano/Modelo : 2009 / 2009 Combustivel : ALC/GASO;1400;Arrematado;6000;19800,0;Pagamento Confirmado;Automóvel;HMH6502
2019;1;48;Nro.Patr. : 014033976 Nro.Placa : HMG6713 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/SIENA HLX FLEX Ano/Modelo : 2006 / 2006 Combustivel : ALC/GASO;1400;Arrematado;5000;11450,0;Pagamento Confirmado;Automóvel;HMG6713
2019;1;49;Nro.Patr. : 035317418 Nro.Placa : HMH1828 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: GM/ZAFIRA COMFORT Ano/Modelo : 2008 / 2008 Combustivel : ALC/GASO;1450;Arrematado;3000;8900,0;Pagamento Confirmado;Automóvel;HMH1828
2019;1;50;Nro.Patr. : 027610411 Nro.Placa : HMG1458 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: VW/SAVEIRO 1.6 Ano/Modelo : 2002 / 2002 Combustivel : ALCOOL;2100;Arrematado;2500;8800,0;Pagamento Confirmado;Automóvel;HMG1458
2019;1;51;Nro.Patr. : 035220562 Nro.Placa : HMH4118 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: I/FORD FOCUS 2.0L FC Ano/Modelo : 2008 / 2008 Combustivel : GASOLINA;1070;Arrematado;6000;11600,0;Pagamento Confirmado;Automóvel;HMH4118
2019;1;52;Nro.Patr. : 029794625 Nro.Placa : HMH0486 Situacao : Pessimo Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: GM/CLASSIC SPIRIT Ano/Modelo : 2006 / 2007 Combustivel : GASOLINA;1690;Arrematado;2000;4600,0;Pagamento Confirmado;Automóvel;HMH0486
2019;1;53;Nro.Patr. : 014259184 Nro.Placa : HMG1658 Situacao : Pessimo Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE Ano/Modelo : 2001 / 2002 Combustivel : ALCOOL;1690;Arrematado;400;400,0;DAE não paga - processo punitivo;Automóvel;HMG1658
2019;1;54;Nro.Patr. : 014259141 Nro.Placa : HMG1655 Situacao : Sucata Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE Ano/Modelo : 2001 / 2002 Combustivel : ALCOOL;1690;Arrematado;400;400,0;Pagamento Confirmado;Automóvel;HMG1655
2019;1;55;Nro.Patr. : 012788961 Nro.Placa : HMG0975 Situacao : Sucata Tipo : CAMIONETA Especie : MISTO Marca/Modelo: GM/BLAZER Ano/Modelo : 2001 / 2001 Combustivel : GASOL/GN;1400;Arrematado;1800;7000,0;Pagamento Confirmado;Automóvel;HMG0975
2019;1;56;Nro.Patr. : 017611440 Nro.Placa : GMG2078 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: GM/CHEVROLET D 20 Ano/Modelo : 1989 / 1989 Combustivel : DIESEL;1070;Arrematado;4000;25500,0;Pagamento Confirmado;Automóvel;GMG2078
2019;1;57;Nro.Patr. : 027679420 Nro.Placa : HMH5062 Situacao : Bom Tipo : CAMINHONETE Especie : ESPECIAL Marca/Modelo: MMC/L200 4X4 GL Ano/Modelo : 2008 / 2009 Combustivel : DIESEL;2100;Arrematado;6000;18200,0;Pagamento Confirmado;Automóvel;HMH5062
2019;1;58;Nro.Patr. : 033219265 Nro.Placa : HMH1487 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: MMC/L200 4X4 GL Ano/Modelo : 2007 / 2008 Combustivel : DIESEL;2100;Arrematado;6000;25400,0;Pagamento Confirmado;Automóvel;HMH1487
2019;1;59;Nro.Patr. : 028132238 Nro.Placa : HMG4267 Situacao : Bom Tipo : MICROONIBUS Especie : PASSAGEIRO Marca/Modelo: FIAT/DUCATO COMBINAT Ano/Modelo : 2004 / 2004 Combustivel : DIESEL;1320;Arrematado;2000;8400,0;Pagamento Confirmado;Automóvel;HMG4267
2019;1;60;Nro.Patr. : 061536547 Nro.Placa : GMF2458 Situacao : Bom Tipo : CAMINHONETE Especie : ESPECIAL Marca/Modelo: GM/C20 CUSTOM S Ano/Modelo : 1991 / 1991 Combustivel : GASOLINA;1320;Arrematado;1000;8200,0;Pagamento Confirmado;Automóvel;GMF2458
2019;1;61;Nro.Patr. : 012752371 Nro.Placa : HMG0969 Situacao : Bom Tipo : CAMIONETA Especie : MISTO Marca/Modelo: GM/BLAZER Ano/Modelo : 2001 / 2001 Combustivel : GASOL/GN;1400;Arrematado;1800;8200,0;Pagamento Confirmado;Automóvel;HMG0969
2019;1;62;Nro.Patr. : 012788791 Nro.Placa : HMG0971 Situacao : Pessimo Tipo : CAMIONETA Especie : MISTO Marca/Modelo: GM/BLAZER Ano/Modelo : 2001 / 2001 Combustivel : GASOL/GN;1400;Arrematado;1800;13600,0;DAE não paga - processo punitivo;Automóvel;HMG0971
2019;1;63;Nro.Patr. : 013992155 Nro.Placa : HMH0183 Situacao : Bom Tipo : CAMINHAO Especie : CARGA Marca/Modelo: I/M.BENZ313CDI SPRIN Ano/Modelo : 2006 / 2007 Combustivel : DIESEL;1400;Arrematado;4000;27100,0;Pagamento Confirmado;Automóvel;HMH0183
2019;1;64;Nro.Patr. : 013919075 Nro.Placa : HMH3150 Situacao : Bom Tipo : CAMINHAO Especie : ESPECIAL Marca/Modelo: FORD/F350 CD Ano/Modelo : 2008 / 2008 Combustivel : DIESEL;1500;Lote Suspenso;6000;0,0;Lote Suspenso;Automóvel;HMH3150
2019;1;65;Nro.Patr. : 013991760 Nro.Placa : HMH0231 Situacao : Bom Tipo : CAMINHONETE Especie : ESPECIAL Marca/Modelo: NISSAN/FRONTIER 4X4 Ano/Modelo : 2006 / 2006 Combustivel : DIESEL;1400;Arrematado;5000;22100,0;Pagamento Confirmado;Automóvel;HMH0231
2019;1;66;Nro.Patr. : 027658449 Nro.Placa : HMH1819 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: I/FORD RANGER XL 13P Ano/Modelo : 2007 / 2008 Combustivel : DIESEL;2100;Arrematado;4000;24550,0;Pagamento Confirmado;Automóvel;HMH1819
2019;1;67;Nro.Patr. : 019376995 Nro.Placa : HMG3709 Situacao : Bom Tipo : CAMINHONETE Especie : CARGA Marca/Modelo: FIAT/DUCATO CARGO Ano/Modelo : 2004 / 2005 Combustivel : DIESEL;1450;Arrematado;2000;8600,0;Pagamento Confirmado;Automóvel;HMG3709
2019;2;1;Mobiliários de escritório, equipamentos de uso geral e material de informática. Total de 95 itens com patrimônio;2090;Arrematado;800;2900,0;Pagamento Confirmado;Materiais Diversos;Não há
2019;2;2;Materiais de informática, equipamentos e móveis hospitalares, equipamentos e móveis administrativos. Total de 847 itens com patrimônio.;2010;Arrematado;3000;15200,0;Pagamento Confirmado;Materiais Diversos;Não há
2019;2;3;01 Tomógrafo Computadorizado marca Toshiba e instrumentais odontológicos/cirúrgicos diversos total de 864 itens com patrimônio.;2010;Arrematado;12500;72150,0;Pagamento Confirmado;Materiais Diversos;Não há
2019;2;4;Mobiliário de escritório, material de informática, etc. Total de 302 itens com patrimônio.;1270;Arrematado;300;2350,0;Pagamento Confirmado;Materiais Diversos;Não há
2019;2;5;Mobiliários de escritório em geral. Total de 129 itens com patrimônio.;1570;Arrematado;500;2600,0;Pagamento Confirmado;Materiais Diversos;Não há
2019;3;1;HONDA/CB600F HORNET - PLACA HBF-4741;9999;Lote Suspenso;5000;0,0;Lote Suspenso;Automóvel;HBF4741
2019;3;2;HONDA/CG 150 TITAN KS - PLACA HHN-8681;9999;Arrematado;50;50,0;Pagamento Confirmado;Automóvel;HHN8681
2019;3;3;FIAT/BRAVA SX - PLACA GUP-6366;9999;Arrematado;500;2700,0;Pagamento Confirmado;Automóvel;GUP6366
2019;3;4;VW/GOLF 2.0 - PLACA GZT-4747;9999;Arrematado;2000;8200,0;Pagamento Confirmado;Automóvel;GZT4747
2019;3;5;FIAT/PALIO EDX - PLACA GQS-6591;9999;Arrematado;200;200,0;Pagamento Confirmado;Automóvel;GQS6591
2019;3;6;FIAT/PALIO FIRE - PLACA HAE-8031;9999;Arrematado;200;200,0;Pagamento Confirmado;Automóvel;HAE8031
2019;3;7;FIAT/STILO ABARTH - PLACA HAG-2362;9999;Arrematado;200;200,0;Pagamento Confirmado;Automóvel;HAG2362
2019;3;8;GM/BLAZER DLX - PLACA GWA-0675;9999;Arrematado;1500;3100,0;Pagamento Confirmado;Automóvel;GWA0675
2019;3;9;VW/GOLF GENERATION - PLACA HQA-4792;9999;Arrematado;2000;8200,0;Pagamento Confirmado;Automóvel;HQA4792
2019;3;10;FIAT/PUNTO SPORTING 1.8 - PLACA HIC-4760;9999;Arrematado;2000;11400,0;Pagamento Confirmado;Automóvel;HIC4760
2019;3;11;AUDI/A3 1.8T - PLACA LOI-3245;9999;Arrematado;200;200,0;Pagamento Confirmado;Automóvel;LOI3245
2019;4;1;Nro.Patr. : 032739567 Situacao : Indefinido Tipo : BELL HELICOPTER JET RANGER 3 (206B) Monomotor Turbo - eixo Rolls-Royce. Modelo Allisson 250- cj;1250;Arrematado;690000;690000,0;Pagamento Confirmado;Aeronaves;Não há
2019;5;1;MOTOR ALISSON 250-120J Rolls-Royce;1250;Arrematado;65100;65100,0;Pagamento Confirmado;Aeronaves;Não há
2019;6;1;Nro.Patr. : 024773522 Nro.Placa : HMG9367 Situacao : Indefinido Tipo : MOTOCICLETA Especie : PASSAGEIRO Marca/Modelo: YAMAHA/XTZ 125K Ano/Modelo : 2007 / 2007 Combustivel : GASOLINA;1510;Arrematado;500;1800,0;Pagamento Confirmado;Automóvel;HMG9367
2019;6;2;Nro.Patr. : 015836037 Nro.Placa : HMG2332 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/SIENA FIRE Ano/Modelo : 2003 / 2004 Combustivel : GASOLINA;1510;Arrematado;2000;5800,0;Pagamento Confirmado;Automóvel;HMG2332
2019;6;3;Nro.Patr. : 028861191 Nro.Placa : HMG6629 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2006 / 2006 Combustivel : ALC/GASO;1370;Arrematado;2000;5300,0;Pagamento Confirmado;Automóvel;HMG6629
2019;6;4;Nro.Patr. : 015835812 Nro.Placa : HMG2328 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/SIENA FIRE Ano/Modelo : 2003 / 2004 Combustivel : GASOLINA;1510;Arrematado;2000;4300,0;Pagamento Confirmado;Automóvel;HMG2328
2019;6;5;Nro.Patr. : 028861272 Nro.Placa : HMG6631 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2006 / 2006 Combustivel : ALC/GASO;1370;Arrematado;2000;5100,0;Pagamento Confirmado;Automóvel;HMG6631
2019;6;6;Nro.Patr. : 028584554 Nro.Placa : HMG6735 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: GM/ASTRA SEDAN CONFO Ano/Modelo : 2005 / 2006 Combustivel : ALC/GASO;1510;Arrematado;2500;3800,0;Pagamento Confirmado;Automóvel;HMG6735
2019;6;7;Nro.Patr. : 027564363 Nro.Placa : HMG3358 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2004 / 2005 Combustivel : GASOLINA;2100;Arrematado;2000;5500,0;Pagamento Confirmado;Automóvel;HMG3358
2019;6;8;Nro.Patr. : 036614114 Nro.Placa : HMH5775 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FORD/FIESTA 1.6 FLEX Ano/Modelo : 2008 / 2009 Combustivel : ALC/GASO;1510;Arrematado;3000;7400,0;Pagamento Confirmado;Automóvel;HMH5775
